timestamp,latitude,longitude,altitude,speed,course,hacc
1759427126000,13.658175,-89.278652,948.061,2.990,174.200,9.935
1759427127000,13.658142,-89.278648,948.258,3.430,175.800,9.935
1759427128000,13.658107,-89.278645,948.003,3.580,176.800,9.935
1759427129000,13.658077,-89.278643,947.915,3.140,178.200,9.935
1759427130000,13.658053,-89.278642,947.934,2.520,179.000,9.935
1759427131000,13.658035,-89.278642,948.055,2.030,179.300,9.935
1759427132000,13.658018,-89.278642,948.092,1.910,179.500,9.935
1759427133000,13.658002,-89.278642,948.153,1.990,179.300,9.935
1759427134000,13.657985,-89.278641,948.376,1.830,179.300,9.935
1759427135000,13.657971,-89.278641,948.591,1.480,179.200,9.935
1759427136000,13.657962,-89.278641,948.588,0.980,178.900,9.935
1759427137000,13.657954,-89.278641,948.964,0.980,178.700,9.935
1759427138000,13.657944,-89.278640,948.902,1.070,178.600,9.935
1759427139000,13.657931,-89.278640,948.946,1.350,178.300,9.935
1759427140000,13.657917,-89.278640,949.438,1.540,178.600,9.935
1759427141000,13.657902,-89.278643,950.024,1.100,179.200,9.935
1759427142000,13.657895,-89.278644,951.013,0.600,179.200,10.384
1759427143000,13.657895,-89.278646,951.908,0.000,0.000,10.713
1759427144000,13.657898,-89.278647,952.909,0.000,0.000,10.791
1759427145000,13.657898,-89.278648,953.768,0.000,0.000,10.771
1759427146000,13.657893,-89.278648,953.844,0.690,179.500,10.777
1759427147000,13.657882,-89.278648,953.705,1.290,179.600,10.872
1759427148000,13.657865,-89.278647,953.942,1.920,179.600,10.945
1759427149000,13.657841,-89.278647,953.882,2.480,179.500,10.941
1759427150000,13.657817,-89.278646,953.821,2.540,178.900,10.874
1759427151000,13.657795,-89.278645,953.819,2.330,178.100,10.819
1759427152000,13.657771,-89.278645,953.784,2.600,178.900,10.821
1759427153000,13.657746,-89.278643,953.489,2.710,178.400,10.840
1759427154000,13.657730,-89.278642,953.381,1.700,178.000,10.857
1759427155000,13.657732,-89.278641,952.903,0.000,0.000,11.177
1759427156000,13.657734,-89.278640,952.801,0.000,0.000,11.259
1759427157000,13.657735,-89.278639,952.646,0.000,0.000,11.349
1759427158000,13.657722,-89.278638,952.526,1.930,176.700,11.371
1759427159000,13.657692,-89.278639,952.763,3.160,176.800,11.246
1759427160000,13.657653,-89.278638,952.106,3.940,177.200,11.252
1759427161000,13.657608,-89.278637,951.820,4.750,177.300,11.211
1759427162000,13.657537,-89.278641,952.834,5.700,177.500,11.186
1759427163000,13.657484,-89.278636,952.573,6.040,177.300,11.160
1759427164000,13.657416,-89.278640,953.581,6.180,178.500,11.141
1759427165000,13.657361,-89.278638,953.107,6.250,178.900,11.180
1759427166000,13.657295,-89.278647,953.894,6.150,180.100,11.280
1759427167000,13.657251,-89.278650,953.976,4.990,180.200,10.519
